,date,tweet,cleaned_tweet,sentiment
30,2021-10-01 17:14:28,"#Bitcoin LTF Update Extended yellow box to right as S/R and done some updates with red boxes. Current level has importance, you can check my HTF analysis for that. Since we're at where recent sellers were active, you should not be looking for fresh longs yet. Be patient for that  https://t.co/hMknihRWCb"," LTF Update Extended yellow box to right as S/R and done some updates with red boxes. Current level has importance, you can check my HTF analysis for that. Since we're at where recent sellers were active, you should not be looking for fresh longs yet. Be patient for that  ",0.013934493064880371
31,2021-10-01 17:13:07,#Bitcoin bullish breakout? Is it time for a massive Q4?  Check the update here:  https://t.co/fvaxhjtTt0  Don't forget to subscribe!, bullish breakout? Is it time for a massive Q4?  Check the update here:  't forget to subscribe!,0.0025594234466552734
38,2021-10-01 17:11:00,Vote for me 🗳️ / Vótame 🗳️ 👇👇👇👇👇👇👇  https://t.co/3urdswn6SS  53 Best Porn Trans 113 Best Role Play Model 137 Sexiest Instagrammer 261 Best Fetish Trans Star  🏆 @EroAwardBTC  #EroAward  #EroAward2021 #MostVotedAward  #EroAwardArmy  #Bitcoin  #BTC   📸 @ConradSonX  https://t.co/J2r4Buuwv1,Vote for me 🗳️ / Vótame 🗳️ 👇👇👇👇👇👇👇  🏆               📸   ,0.33498531579971313
40,2021-10-01 17:10:34,Bitcoin UPtober really understood the assignment 👀  https://t.co/ajquRSLYf6,Bitcoin UPtober really understood the assignment 👀  ,0.019394338130950928
41,2021-10-01 17:10:26,🔥Our #TVL is hitting $200 Million!!!  🥳When do you think we can hit $500M??? Leave your comment below.   Stake $XMS to Earn with 1000+% APR:  https://t.co/kwKsWKkEx3  $XMS to $1 🚀🚀🚀   #BNB  #BTC  #ETH #XMS #CAKE  #MarsEcosystem  https://t.co/kgb5QfCDpt,🔥Our  is hitting $200 Million!!!  🥳When do you think we can hit $500M??? Leave your comment below.   Stake $XMS to Earn with 1000+% APR:  $XMS to $1 🚀🚀🚀             ,0.0012124180793762207
42,2021-10-01 17:10:19,Halloween is coming.  https://t.co/7GvzsDQ1q5 #nfts #nft #nftart #nftartist #nftcollector #cryptoart #digitalart #nftcommunity #art #crypto #ethereum #blockchain #cryptocurrency #cryptoartist #opensea #nftcollectors #bitcoin #nftdrop #nftcollectibles #artist #d #eth #OpenSeaNFT  https://t.co/RemOTixmDH,Halloween is coming.  ://,0.008163392543792725
46,2021-10-01 17:09:03,Is the Shiba Inu Coin the Cryptocurrency You Should Be Watching?   ✅ Definitely YES!!! also #BTC #ETH #BNB $TREES  Let's Go... It's pumping time! 🚀🤑♻️  https://t.co/6GK1hXXe2z,Is the Shiba Inu Coin the Cryptocurrency You Should Be Watching?   ✅ Definitely YES!!! also    $TREES  Let's G's pumping time! 🚀🤑♻️  ,0.11223471164703369
48,2021-10-01 17:07:34,"#Bitcoin can't go up because SPY is going down   ""there's no way we continue going up, market is wrong... it will dump just like SPY""  get rekt ser, minimum TP is now moved to $47k  Uptober is uptober  $BTC  https://t.co/W47xYYQK28"," can't go up because SPY is going down   ""there's no way we continue going up, market is ""  get rekt ser, minimum TP is now moved to $47k  Uptober is uptober  $BTC  ",0.0009837150573730469
49,2021-10-01 17:07:04,"🔱 Shiva Token - Earn Bitcoin while holding $SHIVA Token  🔐 LP Locked till 2025 💵 51 Billion limited supply + Burn Events 🤝 Active Community 🌟 Doxxed Team 💹 Buybacks Burn 🔥 DeEX &amp; NFT Marketplace  ⚠️ Presale is Live now, Get it before Sold out  TG -   https://t.co/lqjyK1Ddik  https://t.co/xQx8O0eCQJ","🔱 Shiva Token - Earn Bitcoin while holding $SHIVA Token  🔐 LP Locked till 2025 💵 51 Billion limited supply + Burn Events 🤝 Active Community 🌟 Doxxed Team 💹 Buybacks Burn 🔥 DeEX &amp; NFT Marketplace  ⚠️ Presale is Live now, Get it before Sold out  TG -   ://",0.007432818412780762
50,2021-10-01 17:06:47,A friendly reminder that in Q4 #Cosmos will be the first massive interoperable ecosystem in the hystory of #Crypto  35+ #IBC connection coming 🔥  $BTC coming to Cosmos!  #Ethereum assets coming through the #GravityBridge   $ATOM is a black hole that will redefine this space ⚛  https://t.co/qLhSVkIGlm,A friendly reminder that in Q4  will be the first massive interoperable ecosystem in the hystory of   35+  connection coming 🔥  $BTC coming to Cosmos!   assets coming through the    $ATOM is a black hole that will redefine this space ⚛  ,0.13115566968917847
51,2021-10-01 17:06:31,"Crypto has flagged, Bull is back BTC stab thru $44K &amp; ALT's firmer still. Total3 breaks a 3 impulse Falling wedge. If Bitcoin continues to stay firm &amp; square up, it is run time again. 34 RT's &amp; shares and we stream later this afternoon.  https://t.co/OcFqSiFvxV","Crypto has flagged, Bull is back BTC stab thru $44K &amp; ALT's firmer still. Total3 breaks a 3 impulse Falling wedge. If Bitcoin continues to stay firm &amp; square up, it is run time again. 34 RT's &amp; shares and we stream later this afternoon.  ",0.00323331356048584
52,2021-10-01 17:06:11,The world is full of kind and loving people   RT &amp; ❤️ If you agree,The world is full of kind and loving people   RT &amp; ❤️ If you agree,0.9998279809951782
56,2021-10-01 17:04:53,Started a little $BTC short hedge.  I'm long from 41.500...nice to have a position at both horizontals in this range...now I'm comfy during the pull back if we get one and looking to add strong $ALTS with hedge profits at horizontals.  Will scale out of this if we get ~43.500.,Started a little $BTC short hedge.  I'm long from 'm comfy during the pull back if we get one and looking to add strong $ALTS with hedge profits at horizontals.  Will scale out of this if we get ~43.500.,0.9804633259773254
59,2021-10-01 17:03:25,#bitcoin   possible swing short.  entry: USD 44.900 (wait confirmation)  SL: USD 45.500 (above golden pocket and DMA200)  TP1 50%: USD 40.500   TP2 25%: USD 38.000  TP3 25%: USD 35.000  low RR. good odds imho.   probabilities. not certainties.   always DYOR.  https://t.co/E7RSOp2VP4,   possible swing short.  entry: USD 44.900 (wait confirmation)  SL: USD 45.500 (above golden pocket and DMA200)  TP1 50%: USD 40.500   TP2 25%: USD 38.000  TP3 25%: USD 35.000  low RR. good odds imho.   probabilities. not certainties.   always DYOR.  ,0.0025700926780700684
64,2021-10-01 17:01:38,Crypto Challenge has an #NFT giveaway! Have you tried our free #Bitcoin prediction game? Its 2nd series with improved referral rules just started. Check it out if you haven't already and follow #Soonie:  https://t.co/zjNTs2IxRF  #FF @CChallengeSBorg @Cyrus_Fazel @CryptonitesTV,Crypto Challenge has an  giveaway! Have you tried our free  prediction game? Its 2nd series with improved referral rules just started. Check it out if you haven't already and follow :  ,0.01652848720550537
67,2021-10-01 17:00:55,"Most Bitcoin critics are from first world countries. They forget, others exists.","Most Bitcoin critics are from first world countries. They forget, others exists.",0.04260587692260742
69,2021-10-01 17:00:09,Kraken Security Labs reveals many US Bitcoin ATMs still use default admin QR codes 🏧  https://t.co/tqX0Z9ZJoQ,Kraken Security Labs reveals many US Bitcoin ATMs still use default admin QR codes 🏧  ,0.012164056301116943
72,2021-10-01 16:59:00,"The Pi Cycle 111-day MA continues to figure as strong support for #BTC   Bitcoin is still sandwiched by the Pi Cycle MA and the red resistance area  Indeed, a triangular market structure is clearly forming here  An Ascending Triangle, perhaps  $BTC #Crypto #Bitcoin  https://t.co/fy6jL41DXK","The Pi Cycle 111-day MA continues to figure as strong support for    Bitcoin is still sandwiched by the Pi Cycle MA and the red resistance area  Indeed, a triangular market structure is clearly forming here  An Ascending Triangle, perhaps  $BTC    ",0.0757027268409729
73,2021-10-01 16:58:35,There will be more than 21m #Bitcoin,There will be more than 21m ,0.0062792301177978516
74,2021-10-01 16:58:20,Welcome &amp; Thank you October aka Uptober!  #Bitcoin #Ethereum #Cardano #BNB #Solana #XRP #Polkadot #LUNA #AVAX #LINK #ALGO #Cosmos #MATIC #CAKE,Welcome &amp; Thank you October aka Uptober!               ,0.9951659440994263
75,2021-10-01 16:58:10,"Woke up to see very good developments in $VET chart $BTC , $ETH, $WOO and all major coins🚀🚀  Interesting updates will be out as things are going on this and next week.  #Crypto total market cap is on fire, but we need a confirmations on the way up.  Stay tuned!","Woke up to see very good developments in $VET chart $BTC , $ETH, $WOO and all major coins🚀🚀  Interesting updates will be out as things are going on this and next week.   total market cap is on fire, but we need a confirmations on the way up.  Stay tuned!",0.8892418742179871
76,2021-10-01 16:58:02,$VRA is leading the way 🔥🔥🔥 Like if you're also excited for Q4 🤩  https://t.co/8wGMDE9zsH,$VRA is leading the way 🔥🔥🔥 Like if you're also excited for Q4 🤩  ,0.0991584062576294
77,2021-10-01 16:57:36,"❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️ My Financial advice to all my followers: Do Not Rush to Buy Crypto Now, Do Not Follow Financial News! Keep Your Capital/Asset as USDT and Hunt Like a Skilled Hunter at The Right Time!  #BTC Touches $31600! ❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️","❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️ My Financial advice to all my followers: Do Not Rush to Buy Crypto Now, Do Not Follow Financial News! Keep Your Capital/Asset as USDT and Hunt Like a Skilled Hunter at The Right Time!   Touches $31600! ❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️",0.9804413318634033
78,2021-10-01 16:57:11,"Great bounces across the board but BTC &amp; ALTS nearing LTF resistance levels.  Be careful and instead of fomoing in the green, place some bids for a retest.","Great bounces across the board but BTC &amp; ALTS nearing LTF resistance levels.  Be careful and instead of fomoing in the green, place some bids for a retest.",0.07742023468017578
84,2021-10-01 16:56:02,Is it Uptober?  #Bitcoin,Is it Uptober?  ,0.28408801555633545
85,2021-10-01 16:55:30,Absolutely 100% accurate #Bitcoin analysis from 2 days ago when many were expecting more RED 🔴  https://t.co/vf33e5gjOH,Absolutely 100% accurate  analysis from 2 days ago when many were expecting more RED 🔴  ,0.9961854815483093
87,2021-10-01 16:54:53,$BTC  Local horizontal resistance and resistance from BVWAP . This is normally a good place to short......So I am expecting a short squeeze 😏👀  We need a higher high. Bulls please make me HIGH 🌟  https://t.co/lug99ia6ct,$BTC  Local horizontal resistance and resistance from BVWAP . This is normally a good place to 😏👀  We need a higher high. Bulls please make me HIGH 🌟  ,0.05094647407531738
89,2021-10-01 16:54:16,Bears rn: Waiting for confirmation at 64K $BTC  https://t.co/5HStrVUeGG,Bears rn: Waiting for confirmation at 64K $BTC  ,0.0022641420364379883
90,2021-10-01 16:54:09,Q4 will melt faces 🚀🚀🚀 #BTC #eth #ada,Q4 will melt faces 🚀🚀🚀   ,0.025051593780517578
95,2021-10-01 16:53:10,"Price is the least important metric so stop staring at it!  On the other hand, the most important is 1) Fundamentals &amp; 2) Time in the market.  Do 1 and 2 and you will always win big and have no stress and a lot of fun doing it.  #VeChain #VeFam $VET #Bitcoin","Price is the least important metric so stop staring at it!  On the other hand, the most important is 1) Fundamentals &amp; 2) Time in the market.  Do 1 and 2 and you will always win big and have no stress and a lot of fun doing it.    $VET ",0.9912664294242859
96,2021-10-01 16:52:57,🚨 BITCOIN BREAKING OUT!!! 🚨THIS IS MY NEW SHORT TERM TARGET!!  https://t.co/EU0DsWNSqb via @YouTube #bitcoin   Shoutout to @Niftify_io and @TechDev_52  https://t.co/amT7wGjejP,🚨 BITCOIN BREAKING OUT!!! 🚨THIS IS MY NEW SHORT TERM TARGET!!  ://,0.0019515752792358398
97,2021-10-01 16:52:24,"1. We are winning, everyone who isn't betting on $crypto right now is broke and rekt  Every industry is declining, there is no infinite growth on a finite planet  Woke people talking about $btc energy consumption missing the point  We are literally shifting from a resource","1. We are winning, everyone who isn't betting on $crypto right now is broke and rekt  Every industry is declining, there is no infinite growth on a finite planet  Woke people talking about $btc energy consumption missing the point  We are literally shifting from a resource",0.01897495985031128
98,2021-10-01 16:52:00,This is the sort of feedback that makes my day 💯  My goal is to share cutting-edge tools &amp; strategies to help you better navigate the Crypto space  Hearing that the content makes a difference means the World to me   https://t.co/6D0cB8N56X  #BTC #Crypto #Bitcoin  https://t.co/7btHtqPOeZ,This is the sort of feedback that makes my day 💯  My goal is to share cutting-edge tools &amp; strategies to help you better navigate the Crypto space  Hearing that the content makes a difference means the World to me   ://,0.9834710955619812
101,2021-10-01 16:51:19,⛏ Miners - 1st Bitcoin Mining Token  🚀 4M MC at 6 Days Old  ⬇️AMA TODAY FRIDAY 7PM UTC⬇️   With @OfficialTravlad &amp; Founder - @OnlyKingJunior    https://t.co/6Ds4dS42jT  #Presale #Fairlaunch #BSCGem #BSCGems #Whitelist #DeFi #BSC #100xCoin #BNB #BTC #Bitcoin #Mining #PancakeSwap  https://t.co/dgj9cbEfLJ,⛏ Miners - 1st Bitcoin Mining Token  🚀 4M MC at 6 Days Old  ⬇️AMA TODAY FRIDAY 7PM UTC⬇️   With  &amp; Founder -     ://,0.0042639970779418945
102,2021-10-01 16:50:54,@nayibbukele The first Volcano #Bitcoin was mined 🌋⛏️  https://t.co/YS6eadbY7X, The first Volcano  was mined 🌋⛏️  ,0.0039030909538269043
104,2021-10-01 16:50:46,"Sphere 3D Secures Order for 60,000 BTC Antminers, One of the Largest Single Orders in Digital Mining Industry History  $ANY this was big news and now $BTC creeping back  https://t.co/qwEeY3jUCz","Sphere 3D Secures Order for 60,000 BTC Antminers, One of the Largest Single Orders in Digital Mining Industry History  $ANY this was big news and now $BTC creeping back  ",0.0008423328399658203
107,2021-10-01 16:49:38,⚡️FLASH TA - $BTC UPDATE⚡️  This week has been interesting on CT where we have gone from being super bearish at support and ultra bullish at resistance.  DO. NOT. BUY. RESISTANCE.  WAIT. FOR. CONFIRMATION.  https://t.co/4DFzQNo7QO,⚡️FLASH TA - $BTC UPDATE⚡️  This week has been interesting on CT where we have gone from being super bearish at support and ultra bullish at resistance.  DO. NOT. BUY. RESISTANCE.  WAIT. FOR. CONFIRMATION.  ,0.006791293621063232
108,2021-10-01 16:49:36,October Start - अब आएगा मजा | Back to Back good news | #Crypto news &amp; update | Bitcoin TA  https://t.co/6ahCsoivsA,October Start - अब आएगा मजा | Back to Back good news |  news &amp; update | Bitcoin TA  ,0.018447577953338623
109,2021-10-01 16:49:19,Attention❗️Motion 362 has been approved by the Kusama Council - the proposal scheduled the opening of an 11th slot auction before the current lease period ends. The new auction is supposed to kick off at approx. 11:30am on Wed 06 October.   Onward and forward 🚀  #Kintsugi2Kusama  https://t.co/iXUs89krRo,Attention❗️Motion 362 has been approved by the Kusama Council - the proposal scheduled the opening of an 11th slot auction before the current lease period ends. The new auction is supposed to kick off at approx. 11:30am on Wed 06 October.   Onward and forward 🚀    ,0.007788300514221191
110,2021-10-01 16:49:11,Spot Entries Going Perfect 🤝 We Longed #BTC Last night in Private Group ✍️🤝,Spot Entries Going Perfect 🤝 We Longed  Last night in Private Group ✍️🤝,0.9971325397491455
115,2021-10-01 16:46:36,Now that September is over maybe we can get back to business #Dogecoin #Bitcoin #Ethereum #VeChain 🚀🚀🚀🚀,Now that September is over maybe we can get back to business     🚀🚀🚀🚀,0.0018961429595947266
118,2021-10-01 16:45:35,#Bitcoin   Take one of the movie 'The last Bulltrade' has been finished!🔥  Entry ✅ Bounce ✅  Shout out to our partners @Delta_Exchange for bringing me the opportunity to trade now other exchanges are taking down futures for the EU gang.   Join us here:  https://t.co/9Qh0vx2Y0t  https://t.co/uGW3OojO0B,   Take one of the movie 'The last Bulltrade' has been finished!🔥  Entry ✅ Bounce ✅  Shout out to our partners  for bringing me the opportunity to trade now other exchanges are taking down futures for the EU gang.   Join us here:  ://,0.015496373176574707
120,2021-10-01 16:45:17,Good morning Crypto Twitter!! 🎉🎊  #BTC #HappyFriday #TGIF   https://t.co/D6exUpL6Ts,Good morning Crypto Twitter!! 🎉🎊       ,0.5152206420898438
121,2021-10-01 16:45:10,Be keen to see the next few candles on $BTC  https://t.co/GGBy9MuQpj,Be keen to see the next few candles on $BTC  ,0.12062108516693115
122,2021-10-01 16:44:46,October is starting and prices are pumping! #bitcoin #ethereum #defichain,October is starting and prices are pumping!   ,0.34247899055480957
124,2021-10-01 16:44:09,"Yes i know half of CT will be posting huge longs from the ""bottom"" but it is too late the opportunity is gone so don't try and join them now. They have a risk free trade you don't","Yes i know half of CT will be posting huge longs from the ""bottom"" but it is too late the opportunity is gone so don't try and join them now. They have a risk free trade you don't",0.0006711483001708984
125,2021-10-01 16:43:58,"Careful guys. It's true what they say:  If BTC does go on a tear, alts will suffer, at least against btc.  Maybe/probably in usd as well. Hard to predict what'll happen this time, just have this in mind.","Careful guys. It's true what they say:  If BTC does go on a tear, alts will suffer, at least against btc.  Maybe/probably in usd as well. Hard to predict what'll happen this time, just have this in mind.",0.04363614320755005
127,2021-10-01 16:43:39,If I had to guess how the next 3 weeks go 🤷‍♂️   $btc  https://t.co/98I7Kpitwb,If I had to guess how the next 3 weeks go 🤷‍♂️   $btc  ,0.0007889270782470703
128,2021-10-01 16:43:35,These are really the first moments of the biggest #altseason ever.,These are really the first moments of the biggest  ever.,0.9993172883987427
129,2021-10-01 16:43:10,I need all EXPERTS to help me out what’s going on with Bitcoin right now 🤪🤪🤪🤪#Bitcoin 😜😜😜,I need all EXPERTS to help me out what’s going on with Bitcoin right now 🤪🤪🤪🤪 😜😜😜,0.006174564361572266
131,2021-10-01 16:42:55,"Now is not the time to buy.   Yes, it looks bullish but we are approaching the golden pocket area. At least wait for it to break through or re test support below.  https://t.co/5sxqas170u","Now is not the time to buy.   Yes, it looks bullish but we are approaching the golden pocket area. At least wait for it to break through or re test support below.  ",0.0020805001258850098
132,2021-10-01 16:42:47,"$BTC based on your comments,  you're either still adding to your short or  already panic sold.  Next is ""wait for the dip"" buy back higher phase.  https://t.co/peFYFRVBZz","$BTC based on your comments,  you're either still adding to your short or  already panic sold.  Next is ""wait for the dip"" buy back higher phase.  ",0.001101851463317871
133,2021-10-01 16:42:30,$BTC $60k end of October and alts to the moon 🚀 let’s go 🤲 #Bitcoin $Coti $Ftm  https://t.co/Lhd7BIATze,$BTC $60k end of October and alts to the moon 🚀 let’s go 🤲  $Coti $Ftm  ,0.0026437044143676758
134,2021-10-01 16:42:13,Tweeted on Sept 21 that the bottom is in! #Bitcoin $78k incoming!  https://t.co/HECfK9kzp0,Tweeted on Sept 21 that the bottom is in!  $78k incoming!  ,0.0016161203384399414
136,2021-10-01 16:41:36,Good morning truth seekers 🌤️ #Bitcoin #Quotebible #Osho #CTM  https://t.co/TokFKWTCqa,Good morning truth seekers 🌤️      ,0.009916961193084717
140,2021-10-01 16:40:41,"$BTC  Honey Badger in full effect. Above 45k - probably squeezes into 47k in a single candle.  Lose Monday’s high and things change, demand in high 43’s would be the key area.  https://t.co/Xti3gejuSB","$BTC  Honey Badger in full effect. Above 45k - probably squeezes into 47k in a single candle.  Lose Monday’s high and things change, demand in high 43’s would be the key area.  ",0.006331741809844971
141,2021-10-01 16:40:38,"If you love:   🤓 Talking about crypto 📊 Technical analysis 💰 Participating in AMAs &amp; giveaways 🗞 First-hand crypto updates  Then you must be part of the WazirX Discuss community already. In case you're not, join here ↓   https://t.co/WWjeBvaQ7X","If you love:   🤓 Talking about crypto 📊 Technical analysis 💰 Participating in AMAs &amp; giveaways 🗞 First-hand crypto updates  Then you must be part of the WazirX Discuss community already. In case you're not, join here ↓   ",0.017037808895111084
143,2021-10-01 16:40:29,Imagine if the Pi Cycle Top moving average actually preceded the Pi Cycle Bottom  #BTC #Crypto #Bitcoin  https://t.co/ZzZcPaUfCU,Imagine if the Pi Cycle Top moving average actually preceded the Pi Cycle Bottom      ,0.0008762478828430176
145,2021-10-01 16:40:11,#Dogecoin is a copy of #bitcoin except it’s fun... let that sink in., is a copy of  except it’s ,0.12827062606811523
147,2021-10-01 16:39:50,"Morning all,  Remember. Bulls can get you rekt too. Try not to get caught in the emotions of buying high.  Wait for a retest. Remember risk management &amp; always look to take profits. $BTC","Morning all,  Remember. Bulls can get you rekt too. Try not to get caught in the emotions of buying high.  Wait for a retest. Remember risk management &amp; always look to take profits. $BTC",0.015811562538146973
148,2021-10-01 16:39:32,$BTC Moment of truth. How strong is 45k...  https://t.co/1NMnlpkURP,$BTC Moment of truth. How strong is ://,0.943149745464325
150,2021-10-01 16:38:55,You survived Rekttember  Time to thrive in Uptober  #BTC #Crypto #Bitcoin,You survived Rekttember  Time to thrive in Uptober    ,0.9848782420158386
151,2021-10-01 16:38:41,"A lot of posts ""warning"" about how $BTC will break support and dismissing the 40k level were given, yet people still go around supporting all that nonsense - same as at 30k really. Everybody can be wrong and the market can always go both ways.  U were simply wrong then &amp; now","A lot of posts ""warning"" about how $BTC will break support and dismissing the 40k level were given, yet people still go around supporting all that nonsense - same as at 30k really. Everybody can be wrong and the market can always go both ways.  U were simply wrong then &amp; now",0.002273261547088623
153,2021-10-01 16:38:22,$DOT | $BTC  Shaping up pretty nice   https://t.co/awWW1xEcVB,$DOT | $BTC  Shaping up pretty nice   ,0.9978629946708679
155,2021-10-01 16:38:06,Looks like the #BTC mid-term retest of the Pi Cycle MA was successful  $BTC #Crypto #Bitcoin  https://t.co/JRcgSBkiuO,Looks like the  mid-term retest of the Pi Cycle MA was successful  $BTC    ,0.0028081536293029785
157,2021-10-01 16:36:40,"@cryptomanran @100trillionUSD Fine for me. As long as we dont make him angry, BTC will rise to 100k this year 👌 @100trillionUSD you want some swiss chocolate? Anything to keep you happy 😅","  Fine for me. As long as we dont make him angry, BTC will rise to 100k this year 👌  you want some swiss chocolate? Anything to keep you happy 😅",0.1727062463760376
158,2021-10-01 16:36:25,Tense start to Q4... will we see $45k #BTC today?,Tense start to Q$45k  today?,0.002285003662109375
159,2021-10-01 16:36:17,"Tobias, an eCash developer who has contributed to the Bitcoin ABC codebase is quarantining in Seoul Korea. Maybe some Korean eCash supporters who speak English could hold an eCash meetup that he could attend. He’s lonely :) He will be free on October 12 or 13. @TobiasRuck","Tobias, an eCash developer who has contributed to the Bitcoin ABC codebase is quarantining in Seoul Korea. Maybe some Korean eCash supporters who speak English could hold an eCash meetup that he could attend. He’s lonely :) He will be free on October 12 or 13. ",0.007628083229064941
161,2021-10-01 16:35:07,Octobrrrrr to $100K $BTC?  (this is an engagement tweet),Octobrrrrr to $100K $BTC?  (this is an engagement tweet),0.004221558570861816
163,2021-10-01 16:35:03,#BTC current price $44.8k chop chop in 1k-1.5k range for rest of the day atleast, current price $44.8k chop chop in 1k-1.5k range for rest of the day atleast,0.007677257061004639
164,2021-10-01 16:34:45,What a great start to the Q4 ❤️  After #BTC now $ETH breaking out as well. 🚀   Will be interesting to see if $BTC and $ETH sustains this breakout over the weekend…  https://t.co/M5IR34PlYf,What a great start to the Q4 ❤️  After  now $ETH breaking out as well. 🚀   Will be interesting to see if $BTC and $ETH sustains this breakout over the weekend…  ,0.9618046283721924
165,2021-10-01 16:34:43,"BUY #Bitcoin NOW!!   Historically;  September ➡️ Bad  October ✅ GOOD November ✅ GOOD December ✅ GOOD  Again not financial advice, but buy #BTC  https://t.co/OYIpA1lxfT","BUY  NOW!!   Historically;  September ➡️ Bad  October ✅ GOOD November ✅ GOOD December ✅ GOOD  Again not financial advice, but buy   ",0.011208772659301758
166,2021-10-01 16:34:19,El Salvador has started mining bitcoin with volcanos (via @Timccopeland)  https://t.co/BwHGcI6N7p @nayibbukele,El Salvador has started mining bitcoin with volcanos (via )  ,0.01100313663482666
167,2021-10-01 16:33:56,#Bitcoin looks so good!!  Livestream this morning!!, looks so good!!  Livestream this morning!!,0.999782145023346
169,2021-10-01 16:33:50,#Bitcoin  https://t.co/k7niXjmKP7,  ,0.00430673360824585
170,2021-10-01 16:33:40,"$BTC #Bitcoin - D1  Such a clean move.  Back @ D1 confluence of resistance here in the 45/46k region (D1 trend, D1 200 MA, August support flipped resistance earlier this month).  If denied here, eyes on 43.5-44k (LTF range high).  https://t.co/NUOsBzgHCh","$BTC  - D1  Such a clean move.  Back @ D1 confluence of resistance here in the 45/46k region (D1 trend, D1 200 MA, August support flipped resistance earlier this month).  If denied here, eyes on 43.5-44k (LTF range high).  ",0.02838343381881714
172,2021-10-01 16:33:24,🔥 $500 in $Eth to one person who Retweets this and Follows Me 🔥,🔥 $500 in $Eth to one person who Retweets this and Follows Me 🔥,0.011469900608062744
173,2021-10-01 16:32:58,European #crypto exchange #Bitbay becomes fully licensed in #Estonia.  https://t.co/QKsbm3TEcd,European  exchange  becomes fully licensed in .  ,0.07866084575653076
174,2021-10-01 16:32:53,"$1Trillion “isn’t that much”, but also somehow it’s impossible for Bitcoin to get to a market cap of $5T or $10T?  Can’t have it both ways, Mr Central Banker.  h/t @steve_hanke @SecYellen","$1Trillion “isn’t that much”, but also somehow it’s impossible for Bitcoin to get to a market cap of $5T or $10T?  Can’t have it both ways, Mr Central Banker.  h/t  ",0.0005782842636108398
177,2021-10-01 16:32:27,OFFICIAL: The United States has no intention to ban #Bitcoin and crypto. - Fed Chairman Jerome Powell 😀🚀  https://t.co/2EDI8TFIlG,OFFICIAL: The United States has no intention to ban  and crypto. - Fed Chairman Jerome Powell 😀🚀  ,0.007785499095916748
179,2021-10-01 16:32:17,#BTC   Time has spoken  $BTC #Crypto #Bitcoin  https://t.co/4ahMior5NI,   Time has spoken  $BTC    ,0.004168331623077393
